horizon,date,MAE,RMSE,WAPE_percent
1,2016-03-28,1.2260818527756223,2.193647876990058,71.04353316284553
2,2016-03-29,1.2941774626219895,2.908504040757692,74.95900902006444
3,2016-03-30,1.1949993894472577,1.9524874877573695,80.43157483071238
4,2016-03-31,1.369271844035997,2.808445664193339,74.22269482760196
5,2016-04-01,1.4429236231024904,2.30717663534505,66.20310492970239
6,2016-04-02,1.7545890868933731,3.177915634476877,64.81605444385032
7,2016-04-03,1.8236952698221385,3.40726483117053,62.01254384132544
8,2016-04-04,1.5659013584668755,2.800593357515947,68.75038961554843
9,2016-04-05,1.466249282461995,2.788225731692747,77.72040645141597
10,2016-04-06,1.4407555867802073,2.512597830664626,76.73705627142913
11,2016-04-07,1.4560728834571535,2.551670899832743,85.40313198073181
12,2016-04-08,1.5990317740173383,2.5798054585141377,73.15532184854871
13,2016-04-09,1.7205896495458084,2.7423572575701307,60.704329152892875
14,2016-04-10,1.9889385405282465,3.969888377853235,70.37933225163975
15,2016-04-11,1.5351561708304267,2.7778529045697367,76.70443037146465
16,2016-04-12,1.421914583173699,2.659913966388116,86.14212715095302
17,2016-04-13,1.367087078194882,2.4269560627208935,83.917305910553
18,2016-04-14,1.3732253145763682,2.170858792078605,81.5086648924511
19,2016-04-15,1.4516230614599355,2.2746201699464215,77.0873000487039
20,2016-04-16,1.7378220828248512,2.872980501342785,71.73945225565387
21,2016-04-17,1.8090286106179732,3.1422647371604233,64.92442840804264
22,2016-04-18,1.4641611713458096,2.6235087296320447,72.90365915536827
23,2016-04-19,1.314932823073561,2.1623999103363603,75.9468837120863
24,2016-04-20,1.3564162450440904,2.339298133371434,78.27992546700233
25,2016-04-21,1.338328076729655,2.184855185862719,75.92488931150866
26,2016-04-22,1.5255749553632931,2.5486742896813332,74.06254090733285
27,2016-04-23,1.755493647768407,3.076685999977397,69.0189978616471
28,2016-04-24,1.8578741367774727,3.444037128314135,65.87133319884599
