variant,feature_count,feature_names,training_rows,training_seconds,model_size_MiB,model_sha256,MAE,RMSE,WAPE,per_sku_mae_median,per_sku_mae_mean,per_sku_mae_p90,undefined_per_sku_wape_count,horizon_1_MAE,horizon_28_MAE,horizon_min_MAE,horizon_max_MAE,prediction_count,artifact_source,MAE_vs_FULL_pct,RMSE_vs_FULL_pct,WAPE_vs_FULL_pct,recommended_candidate
FULL_V1,25,lag_1;lag_7;lag_14;lag_28;rolling_mean_7;rolling_mean_14;rolling_mean_28;rolling_std_7;rolling_std_28;wday;month;year;is_weekend;snap_CA;event_name_1_code;event_type_1_code;event_name_2_code;event_type_2_code;item_code;dept_code;last_known_sell_price;price_lag_7;price_change_from_7_days_ago;price_available;price_missing,2668509,109.747,93.56454372406006,40d6f8fb9322639b3f8e6ea6762a6e86a39d904cdca202b4675deee1aaf61326,1.4024492791741443,2.568234060409177,66.64731562910531,1.014283,1.402449,2.602418,81,1.2192989479317462,1.711910594869781,1.097861602048214,1.8006774277051052,40236,existing_XGBOOST_V1_manifest,0.0,0.0,0.0,FULL_V1
NO_PRICE,20,lag_1;lag_7;lag_14;lag_28;rolling_mean_7;rolling_mean_14;rolling_mean_28;rolling_std_7;rolling_std_28;wday;month;year;is_weekend;snap_CA;event_name_1_code;event_type_1_code;event_name_2_code;event_type_2_code;item_code;dept_code,2668509,76.4267689997796,102.56875228881836,e7622c70e8e263f98cd702a5ec62faac5947c6538c4b44320ac5bec8101d8e29,1.4101927171390733,2.590740862625645,67.01529995607285,1.0267285002129418,1.4101927171390733,2.6411654591560363,81,1.2179234599964868,1.7437055475764216,1.0981046902660667,1.8055413341601414,40236,artifacts\models\xgboost_v1_no_price.json (Git-ignored),-0.5521367567381045,-0.8763532328857129,-0.5521367567380964,FULL_V1
NO_CALENDAR_EVENT,16,lag_1;lag_7;lag_14;lag_28;rolling_mean_7;rolling_mean_14;rolling_mean_28;rolling_std_7;rolling_std_28;item_code;dept_code;last_known_sell_price;price_lag_7;price_change_from_7_days_ago;price_available;price_missing,2668509,88.41622280003503,101.62205600738525,fc48a9cf0c867c033ba7d49e9417529aeee5923f4ab97457746121302fdaaca1,1.4361281313020349,2.6373617225359935,68.24780494527883,1.0436033202069146,1.4361281313020349,2.6859298552785638,81,1.3254939359010027,1.746290350916472,1.2585031151050208,1.7600067656739338,40236,artifacts\models\xgboost_v1_no_calendar_event.json (Git-ignored),-2.401431026990361,-2.691641824725385,-2.4014310269903483,FULL_V1
DEMAND_PRODUCT_ONLY,11,lag_1;lag_7;lag_14;lag_28;rolling_mean_7;rolling_mean_14;rolling_mean_28;rolling_std_7;rolling_std_28;item_code;dept_code,2668509,61.23464690009132,107.87994766235352,6567159f5ccde25de7204f35768c5537852fb8d9885c4d21567127f6b81ad9ee,1.436786904536548,2.6596549014622988,68.27911122375933,1.0425962976046972,1.436786904536548,2.732100144454412,81,1.3277389055688134,1.78257251839763,1.258813476743369,1.78257251839763,40236,artifacts\models\xgboost_v1_demand_product_only.json (Git-ignored),-2.448404079370627,-3.55967715179964,-2.4484040793706128,FULL_V1
